Nombre;Robhold;Ufprog;Ufmec;Uframe.Trans.X;Uframe.Trans.Y;Uframe.Trans.Z;Uframe.Rot.Q1;Uframe.Rot.Q2;Uframe.Rot.Q3;Uframe.Rot.Q4;Oframe.Trans.X;Oframe.Trans.Y;Oframe.Trans.Z;Oframe.Rot.Q1;Oframe.Rot.Q2;Oframe.Rot.Q3;Oframe.Rot.Q4
wobjCR1;False;True;;639,513;805,888;-602,561;0,999991;0,00160819;-0,00121316;0,00378779;0;0;0;1;0;0;0
wobjCR2;False;True;;656,14;-796,492;-608,346;0,00290475;0,00295164;0,00382876;-0,999984;0;0;0;1;0;0;0
wobj0_alcance;False;True;;175;0;495;1;0;0;0;0;0;0;1;0;0;0
wobjActual;False;True;;0;0;0;1;0;0;0;0;0;0;1;0;0;0
wobj0_Cnv1;False;True;;0;0;56,55;0,707107;0;0;-0,707107;0;0;0;1;0;0;0
wobj_camCNV1;False;True;;0;0;0;1;0;0;0;0;0;0;1;0;0;0
wobj_cnv1;False;False;CNV1;0;0;0;1;0;0;0;0;15;0;1;0;0;0
wobjCam;False;True;;0;0;0;1;0;0;0;0;0;0;1;0;0;0
wBaseFrameCnv1;False;True;;736,16;2345,05;56,55;0,710563;8,19176E-11;0,00232991;-0,703629;0;0;0;1;0;0;0
lcl_wBaseFrameCnv1;False;True;;736,16;2345,05;56,55;0,710563;8,19176E-11;0,00232991;-0,703629;2001;15;0;1;0;0;0
