Nombre;Valor
nIrHome;1
nEsperaSuccionAnillo;0,5
nHomeT1;10
nIrMain;50
nvPosDejadaMax;1000
nvPosDejadaAux1Max;1000
nvRotDejadaMax;50
nvDejadaMax;500
nvDejadaAux3Max;500
nvDejadaAux2Max;500
nvDejadaAux1Max;1000
nvAntDejadaMax;1000
nvFueraPosCnvMax;3500
nvFueraAntCnvMax;3500
nvFueraPosMesaMax;3500
nvFueraAntMesaMax;3500
nvPosCogidaMax;1000
nvPosCogidaAux1Max;500
nvCogidaMax;500
nvCogidaAux1Max;2000
nvAntCogidaMax;3500
nHome;1
nTorque_E3;2,39443
nM2IrPosicionEsperaCaja;207
nM1IrPosicionEsperaCaja;107
nLimiteAlcance;1399
nCNV1Position;2001,56
nM2CalibCamara;41
nM1CalibCamara;31
nDistAntDejadaMin;60
nTorque_E2;-2,0413
nM1M2DejarPieza;310
nM2DejarPieza;210
nM2CogerPieza;204
nM1DejarPieza;110
nM1CogerPieza;104
nM2EsperaDejadaPieza;207
nM1EsperaDejadaPieza;107
nAlturaPieza2;483,473
nM2GetCalibOK;43
nM2CalibCamaraOK;41
nM1GetCalibOK;33
nM1CalibCamaraOK;31
nAlturaMaximaPale;1150
nTimeOutGarraSup;0,5
nAlturaPieza1;495,604
nMain;50
nTimeOutGarraMov;3
nTorque_E6;0
nTorque_E1;6,18119E-16
nVelCinta;0
nMantenimiento;2
nM2GetCalib;43
nM1GetCalib;33
nM2IrPosicionSobreMesa;201
nM1IrPosicionSobreMesa;101
nM2EsperaDejadaPiezaT2;206
nM2PosicionSobreMesa;201
nM1EsperaDejadaPiezaT2;106
nM1PosicionSobreMesa;101
nTimeOutVacuo;3
nTorque_E5;-0,0268435
nIrMantenimiento;2
nM1M2MesaHomeT1;311
nM1M2PiezaColocadaT1;308
nM2GetCalibOK_T1;42
nM2CalibCamaraOK_T1;40
nM2MesaHomeT1;211
nM2PiezaColocadaT1;208
nM2EsperaDejadaPiezaT1;205
nM2PiezaCogidaT1;202
nM2PosicionSobreMesaT1;200
nM1GetCalibOK_T1;32
nM1CalibCamaraOK_T1;30
nM1MesaHomeT1;111
nM1PiezaColocadaT1;108
nM1EsperaDejadaPiezaT1;105
nM1PiezaCogidaT1;102
nM1PosicionSobreMesaT1;100
nMantenimientoT1;20
nM1M2PiezaColocada;310
nM1M2AspiracionDesactivada;309
nM2PiezaColocada;210
nM2AspiracionDesactivada;209
nM2PiezaCogida;204
nM2ApiracionActivada;203
nM1PiezaColocada;110
nM1AspiracionDesactivada;109
nM1PiezaCogida;104
nM1ApiracionActivada;103
ngoPosicionAlcanzada;107
nAlturaFueraPosMesa;95,6105
nAltura_pCogida;-17
nAlturaToolDejada;679
nTorque_E4;-0,00751653
