Nombre;V_tcp;V_ori;V_leax;V_reax
vPosDejadaM2;1000;500;5000;1000
vPosDejadaAux1M2;500;500;5000;1000
vDejadaM2;100;25;5000;1000
vDejadaAux3M2;100;25;5000;1000
vDejadaAux2M2;200;25;5000;1000
vDejadaAux1M2;800;25;5000;1000
vAntDejadaM2;800;500;5000;1000
vFueraPosCnvM2;3500;500;5000;1000
vFueraAntCnvM2;3500;500;5000;1000
vFueraPosMesaM2;3500;500;5000;1000
vFueraAntMesaM2;3500;500;5000;1000
vPosCogidaM2;1000;500;5000;1000
vPosCogidaAux1M2;200;500;5000;1000
vCogidaM2;500;500;5000;1000
vCogidaAux1M2;1000;500;5000;1000
vAntCogidaM2;3500;500;5000;1000
